,σ,noisy_mse,lpn_mse,ne_mse,ground_truth
0,0.05,0.002494633529568091,0.00038219115618267095,0.007570646976819262,0.0
1,0.1,0.009996973783709109,0.0008918949492363027,0.00810199295473285,0.0
2,0.15,0.02255456374026835,0.001896792759449454,0.009489004334900528,0.0
3,0.2,0.04005355992540717,0.00409641282306984,0.011526661476586014,0.0
4,0.25,0.06259774966910482,0.009045313004404306,0.014412364430259913,0.0
5,0.3,0.08999723052233458,0.01843942313827574,0.01798727713432163,0.0
6,0.4,0.16035423587262632,0.05036406320892274,0.0270584862716496,0.0
7,0.5,0.2506953556984663,0.09269773732125759,0.03842445587925613,0.0
8,0.6,0.3605499200820923,0.13656361021846533,0.05226088039949536,0.0
9,0.7,0.49046514824032783,0.17935492293536662,0.06695833826065063,0.0
