,σ,lpn_mse,ne_mse
0,0.05,0.0003816914402268594,0.00781860274146311
1,0.1,0.0008930426837760023,0.008310279784956947
2,0.15,0.001884935381647665,0.009503912933869287
3,0.2,0.004081893146852963,0.011282293671742081
4,0.25,0.009018492185045034,0.013875175655353815
5,0.3,0.018351452810689808,0.01727430700790137
